dataset,backend,variant,seed,ablation,accuracy,macro_precision,macro_recall,macro_f1,top5_accuracy,test_loss,best_epoch,best_val_loss,parameter_count,train_seconds,validation_seconds,test_seconds,folder
cifar10,pytorch,baseline,2026,,0.6125,0.6140881588298067,0.6125,0.6094132135838249,0.9585,1.100696086883545,9,1.1154396533966064,67642,56.014651700003014,2.593249999998079,0.48917509999955655,results/multiseed/seed_2026/cifar10_pytorch_baseline
cifar10,pytorch,improved,2026,,0.6516,0.6520130331460505,0.6516,0.6502352039525103,0.9682,0.9897795915603638,7,0.9788486361503601,70170,115.0023487000035,4.19901210000171,0.7043899000018428,results/multiseed/seed_2026/cifar10_pytorch_improved
cifar10,tensorflow,baseline,2026,,0.6111,0.6108318609172885,0.6111000000000001,0.6062976063030339,0.9581,1.1107838153839111,9,1.133967399597168,67642,49.48089099999561,3.1757155999985116,0.6569299999973737,results/multiseed/seed_2026/cifar10_tensorflow_baseline
cifar10,tensorflow,improved,2026,,0.6585,0.6584584398865739,0.6585000000000001,0.6578602081685373,0.9694,0.9771956205368042,10,0.9474851489067078,70170,74.21266040000774,4.572011399995972,0.7865141999973275,results/multiseed/seed_2026/cifar10_tensorflow_improved
cifar100,numpy,baseline,2026,,0.253,0.258834046775145,0.253,0.23767590067623867,0.545,3.0535836219787598,12,3.036363363265991,73492,986.405832299999,46.20160299998679,7.231922899998608,results/multiseed/seed_2026/cifar100_numpy_baseline
cifar100,numpy,improved,2026,,0.3241,0.3262069196234043,0.32409999999999994,0.3173959515022182,0.623,2.7010371685028076,11,2.7159805297851562,76020,1730.791449599994,71.85826280000038,14.396256499996525,results/multiseed/seed_2026/cifar100_numpy_improved
cifar100,pytorch,baseline,2026,,0.273,0.26926696492241303,0.273,0.25820819717876603,0.5567,2.9981143474578857,11,2.9938666820526123,73492,63.653976599995076,2.9936086000016076,0.5206423000017821,results/multiseed/seed_2026/cifar100_pytorch_baseline
cifar100,pytorch,improved,2026,,0.3234,0.3187030528926268,0.32339999999999997,0.3131415229850344,0.6245,2.7091727256774902,12,2.7283713817596436,76020,134.46794290000253,4.826842800001032,0.8194425000001502,results/multiseed/seed_2026/cifar100_pytorch_improved
cifar100,tensorflow,baseline,2026,,0.2619,0.2650814872980423,0.26189999999999997,0.24577469660760645,0.5525,3.0369458198547363,12,3.0148282051086426,73492,59.0405013999989,4.002007400002185,0.6616327999981877,results/multiseed/seed_2026/cifar100_tensorflow_baseline
cifar100,tensorflow,improved,2026,,0.3267,0.3252165762852576,0.3267000000000001,0.3181660055710255,0.6163,2.70399808883667,12,2.732215642929077,76020,83.12711760000457,5.15396409999812,0.8055974000017159,results/multiseed/seed_2026/cifar100_tensorflow_improved
cifar10,pytorch,improved,42,no_bn,0.6198,0.6181011348005714,0.6197999999999999,0.6178763910223646,0.9596,1.089215874671936,10,1.094190001487732,69962,60.43320429999585,2.7769148999796016,0.5336033999992651,results/ablation/seed_42/cifar10_pytorch_improved_no_bn
cifar10,pytorch,improved,7,no_bn,0.6279,0.6316060222748291,0.6279,0.6248024029860775,0.9622,1.0507103204727173,10,1.0247178077697754,69962,57.53416969999671,2.6194916000022204,0.47407290000410285,results/ablation/seed_7/cifar10_pytorch_improved_no_bn
cifar10,pytorch,improved,2026,no_bn,0.6174,0.6211189970830182,0.6174000000000001,0.6159246270896552,0.9603,1.0818634033203125,10,1.0841398239135742,69962,49.036803599999985,2.218645800014201,0.43181779999576975,results/ablation/seed_2026/cifar10_pytorch_improved_no_bn
cifar10,pytorch,improved,42,no_skip,0.6597,0.6623423773157852,0.6597000000000001,0.6588625625576101,0.9681,0.9657147526741028,9,0.9589597582817078,70170,90.66997919999994,2.9497524999969755,0.5573599999988801,results/ablation/seed_42/cifar10_pytorch_improved_no_skip
cifar10,pytorch,improved,7,no_skip,0.6564,0.6675797314095057,0.6564,0.6579646522146121,0.9706,0.980971097946167,9,0.9518656134605408,70170,91.38829030001216,3.0671347999814316,0.5885682000007364,results/ablation/seed_7/cifar10_pytorch_improved_no_skip
cifar10,pytorch,improved,2026,no_skip,0.6522,0.6633386997060198,0.6522000000000001,0.6528409062731345,0.9669,0.990648627281189,10,0.9714070558547974,70170,89.03022479999345,2.989112600014778,0.5860561000008602,results/ablation/seed_2026/cifar10_pytorch_improved_no_skip
cifar10,pytorch,improved,42,no_dropout,0.6559,0.661640002510149,0.6558999999999999,0.6561636219083556,0.9674,1.0031907558441162,9,0.9959537386894226,70170,90.79138970001077,2.9376856999951997,0.6620312000013655,results/ablation/seed_42/cifar10_pytorch_improved_no_dropout
cifar10,pytorch,improved,7,no_dropout,0.6505,0.6483116157199242,0.6505000000000001,0.6456963857824566,0.9676,1.0084266662597656,6,0.9954673647880554,70170,91.68438700000115,3.1350851000024704,0.5975072000001092,results/ablation/seed_7/cifar10_pytorch_improved_no_dropout
cifar10,pytorch,improved,2026,no_dropout,0.6433,0.6429764358860501,0.6433000000000001,0.638361542026097,0.9633,1.0410879850387573,7,1.033612847328186,70170,92.87755499999912,3.0151454000078957,0.5842236000025878,results/ablation/seed_2026/cifar10_pytorch_improved_no_dropout
cifar100,pytorch,improved,42,no_bn,0.249,0.24536279330188587,0.24900000000000003,0.2313597611238863,0.54,3.101454019546509,12,3.091327428817749,75812,52.52358459999232,2.7651709000128903,0.4411357999997563,results/ablation/seed_42/cifar100_pytorch_improved_no_bn
cifar100,pytorch,improved,7,no_bn,0.2826,0.2624157317971689,0.2826,0.2615801115850323,0.5785,2.9240357875823975,11,2.942967653274536,75812,52.146619899984216,2.7858596999867586,0.46405419999791775,results/ablation/seed_7/cifar100_pytorch_improved_no_bn
cifar100,pytorch,improved,2026,no_bn,0.2531,0.23741701022676887,0.2531,0.23359500954397533,0.5455,3.082481622695923,11,3.0754709243774414,75812,52.714835500002664,2.7420313999973587,0.43252919999940787,results/ablation/seed_2026/cifar100_pytorch_improved_no_bn
cifar100,pytorch,improved,42,no_skip,0.3303,0.33150897738009505,0.33030000000000004,0.3235403117657792,0.6353,2.661757707595825,12,2.6834070682525635,76020,109.84246769998572,4.025589500008209,0.6827768000002834,results/ablation/seed_42/cifar100_pytorch_improved_no_skip
cifar100,pytorch,improved,7,no_skip,0.3208,0.3133246024623501,0.3208,0.3089220058882797,0.6219,2.709829330444336,12,2.7272636890411377,76020,110.25407599999744,3.9897628000180703,0.6319031000020914,results/ablation/seed_7/cifar100_pytorch_improved_no_skip
cifar100,pytorch,improved,2026,no_skip,0.3284,0.32595293621278093,0.3284,0.32050085252303584,0.6293,2.6756231784820557,12,2.7087152004241943,76020,107.93753919998562,3.877133199981472,0.6552436999991187,results/ablation/seed_2026/cifar100_pytorch_improved_no_skip
cifar100,pytorch,improved,42,no_dropout,0.3078,0.30328976361480225,0.30779999999999996,0.29673874103293796,0.6,2.8097856044769287,6,2.82293438911438,76020,110.8523402999781,4.05041130000609,0.6599074000041583,results/ablation/seed_42/cifar100_pytorch_improved_no_dropout
cifar100,pytorch,improved,7,no_dropout,0.3192,0.3232135489147568,0.31920000000000004,0.3134929734265104,0.6136,2.782602310180664,7,2.8170721530914307,76020,105.938758900018,3.755147299991222,0.5520869000029052,results/ablation/seed_7/cifar100_pytorch_improved_no_dropout
cifar100,pytorch,improved,2026,no_dropout,0.3157,0.3149006854231579,0.3157,0.30838308058211583,0.6046,2.7911295890808105,7,2.8361823558807373,76020,109.69344790002651,3.9230058999964967,0.622795799994492,results/ablation/seed_2026/cifar100_pytorch_improved_no_dropout
